time_s,altitude_m,vertical_velocity_ms,vertical_accel_ms2,lateral_distance_m,lateral_direction_deg,phase
23.1,6775.05,216.01,-9.81,34.8,60.0,COAST
23.2,6796.56,215.03,-9.81,34.95,60.0,COAST
23.3,6817.96,214.05,-9.81,35.1,60.0,COAST
23.4,6839.27,213.07,-9.81,35.25,60.0,COAST
23.5,6860.48,212.08,-9.81,35.4,60.0,COAST
23.6,6881.59,211.1,-9.81,35.55,60.0,COAST
23.7,6902.6,210.12,-9.81,35.7,60.0,COAST
23.8,6923.51,209.14,-9.81,35.85,60.0,COAST
23.9,6944.33,208.16,-9.81,36.0,60.0,COAST
24.0,6965.05,207.18,-9.81,36.15,60.0,COAST
24.1,6985.67,206.2,-9.81,36.3,60.0,COAST
24.2,7006.19,205.22,-9.81,36.45,60.0,COAST
24.3,7026.61,204.24,-9.81,36.6,60.0,COAST
24.4,7046.94,203.26,-9.81,36.75,60.0,COAST
24.5,7067.16,202.27,-9.81,36.9,60.0,COAST
24.6,7087.29,201.29,-9.81,37.05,60.0,COAST
24.7,7107.32,200.31,-9.81,37.2,60.0,COAST
24.8,7127.26,199.33,-9.81,37.35,60.0,COAST
24.9,7147.09,198.35,-9.81,37.5,60.0,COAST
25.0,7166.83,197.37,-9.81,37.65,60.0,COAST
25.1,7186.47,196.39,-9.81,37.8,60.0,COAST
25.2,7206.01,195.41,-9.81,37.95,60.0,COAST
25.3,7225.45,194.43,-9.81,38.1,60.0,COAST
25.4,7244.8,193.45,-9.81,38.25,60.0,COAST
25.5,7264.04,192.46,-9.81,38.4,60.0,COAST
25.6,7283.19,191.48,-9.81,38.55,60.0,COAST
25.7,7302.24,190.5,-9.81,38.7,60.0,COAST
25.8,7321.19,189.52,-9.81,38.85,60.0,COAST
25.9,7340.05,188.54,-9.81,39.0,60.0,COAST
26.0,7358.8,187.56,-9.81,39.15,60.0,COAST
26.1,7377.46,186.58,-9.81,39.3,60.0,COAST
26.2,7396.02,185.6,-9.81,39.45,60.0,COAST
26.3,7414.48,184.62,-9.81,39.6,60.0,COAST
26.4,7432.85,183.64,-9.81,39.75,60.0,COAST
26.5,7451.11,182.65,-9.81,39.9,60.0,COAST
26.6,7469.28,181.67,-9.81,40.05,60.0,COAST
26.7,7487.35,180.69,-9.81,40.2,60.0,COAST
26.8,7505.32,179.71,-9.81,40.35,60.0,COAST
26.9,7523.19,178.73,-9.81,40.5,60.0,COAST
27.0,7540.97,177.75,-9.81,40.65,60.0,COAST
27.1,7558.64,176.77,-9.81,40.8,60.0,COAST
27.2,7576.22,175.79,-9.81,40.95,60.0,COAST
27.3,7593.7,174.81,-9.81,41.1,60.0,COAST
27.4,7611.09,173.83,-9.81,41.25,60.0,COAST
27.5,7628.37,172.84,-9.81,41.4,60.0,COAST
27.6,7645.56,171.86,-9.81,41.55,60.0,COAST
27.7,7662.64,170.88,-9.81,41.7,60.0,COAST
27.8,7679.63,169.9,-9.81,41.85,60.0,COAST
27.9,7696.53,168.92,-9.81,42.0,60.0,COAST
28.0,7713.32,167.94,-9.81,42.15,60.0,COAST
28.1,7730.02,166.96,-9.81,42.3,60.0,COAST
28.2,7746.61,165.98,-9.81,42.45,60.0,COAST
28.3,7763.11,165.0,-9.81,42.6,60.0,COAST
28.4,7779.51,164.02,-9.81,42.75,60.0,COAST
28.5,7795.82,163.03,-9.81,42.9,60.0,COAST
28.6,7812.02,162.05,-9.81,43.05,60.0,COAST
28.7,7828.13,161.07,-9.81,43.2,60.0,COAST
28.8,7844.14,160.09,-9.81,43.35,60.0,COAST
28.9,7860.05,159.11,-9.81,43.5,60.0,COAST
29.0,7875.86,158.13,-9.81,43.65,60.0,COAST
29.1,7891.58,157.15,-9.81,43.8,60.0,COAST
29.2,7907.19,156.17,-9.81,43.95,60.0,COAST
29.3,7922.71,155.19,-9.81,44.1,60.0,COAST
29.4,7938.13,154.21,-9.81,44.25,60.0,COAST
29.5,7953.46,153.22,-9.81,44.4,60.0,COAST
29.6,7968.68,152.24,-9.81,44.55,60.0,COAST
29.7,7983.81,151.26,-9.81,44.7,60.0,COAST
29.8,7998.84,150.28,-9.81,44.85,60.0,COAST
29.9,8013.77,149.3,-9.81,45.0,60.0,COAST
30.0,8028.6,148.32,-9.81,45.15,60.0,COAST
30.1,8043.33,147.34,-9.81,45.3,60.0,COAST
30.2,8057.97,146.36,-9.81,45.45,60.0,COAST
30.3,8072.5,145.38,-9.81,45.6,60.0,COAST
30.4,8086.94,144.4,-9.81,45.75,60.0,COAST
30.5,8101.28,143.41,-9.81,45.9,60.0,COAST
30.6,8115.53,142.43,-9.81,46.05,60.0,COAST
30.7,8129.67,141.45,-9.81,46.2,60.0,COAST
30.8,8143.72,140.47,-9.81,46.35,60.0,COAST
30.9,8157.67,139.49,-9.81,46.5,60.0,COAST
31.0,8171.52,138.51,-9.81,46.65,60.0,COAST
31.1,8185.27,137.53,-9.81,46.8,60.0,COAST
31.2,8198.93,136.55,-9.81,46.95,60.0,COAST
31.3,8212.48,135.57,-9.81,47.1,60.0,COAST
31.4,8225.94,134.59,-9.81,47.25,60.0,COAST
31.5,8239.3,133.6,-9.81,47.4,60.0,COAST
31.6,8252.57,132.62,-9.81,47.55,60.0,COAST
31.7,8265.73,131.64,-9.81,47.7,60.0,COAST
31.8,8278.8,130.66,-9.81,47.85,60.0,COAST
31.9,8291.76,129.68,-9.81,48.0,60.0,COAST
32.0,8304.63,128.7,-9.81,48.15,60.0,COAST
32.1,8317.41,127.72,-9.81,48.3,60.0,COAST
32.2,8330.08,126.74,-9.81,48.45,60.0,COAST
32.3,8342.66,125.76,-9.81,48.6,60.0,COAST
32.4,8355.13,124.78,-9.81,48.75,60.0,COAST
32.5,8367.51,123.79,-9.81,48.9,60.0,COAST
32.6,8379.79,122.81,-9.81,49.05,60.0,COAST
32.7,8391.98,121.83,-9.81,49.2,60.0,COAST
32.8,8404.06,120.85,-9.81,49.35,60.0,COAST
32.9,8416.05,119.87,-9.81,49.5,60.0,COAST
33.0,8427.94,118.89,-9.81,49.65,60.0,COAST
33.1,8439.73,117.91,-9.81,49.8,60.0,COAST
33.2,8451.42,116.93,-9.81,49.95,60.0,COAST
33.3,8463.02,115.95,-9.81,50.1,60.0,COAST
33.4,8474.51,114.97,-9.81,50.25,60.0,COAST
33.5,8485.91,113.98,-9.81,50.4,60.0,COAST
33.6,8497.21,113.0,-9.81,50.55,60.0,COAST
33.7,8508.41,112.02,-9.81,50.7,60.0,COAST
33.8,8519.52,111.04,-9.81,50.85,60.0,COAST
33.9,8530.52,110.06,-9.81,51.0,60.0,COAST
34.0,8541.43,109.08,-9.81,51.15,60.0,COAST
34.1,8552.24,108.1,-9.81,51.3,60.0,COAST
34.2,8562.95,107.12,-9.81,51.45,60.0,COAST
34.3,8573.57,106.14,-9.81,51.6,60.0,COAST
34.4,8584.08,105.16,-9.81,51.75,60.0,COAST
34.5,8594.5,104.17,-9.81,51.9,60.0,COAST
34.6,8604.82,103.19,-9.81,52.05,60.0,COAST
34.7,8615.04,102.21,-9.81,52.2,60.0,COAST
34.8,8625.16,101.23,-9.81,52.35,60.0,COAST
34.9,8635.19,100.25,-9.81,52.5,60.0,COAST
35.0,8645.11,99.27,-9.81,52.65,60.0,COAST
35.1,8654.94,98.29,-9.81,52.8,60.0,COAST
35.2,8664.67,97.31,-9.81,52.95,60.0,COAST
35.3,8674.31,96.33,-9.81,53.1,60.0,COAST
35.4,8683.84,95.35,-9.81,53.25,60.0,COAST
35.5,8693.28,94.36,-9.81,53.4,60.0,COAST
35.6,8702.62,93.38,-9.81,53.55,60.0,COAST
35.7,8711.86,92.4,-9.81,53.7,60.0,COAST
35.8,8721.0,91.42,-9.81,53.85,60.0,COAST
35.9,8730.04,90.44,-9.81,54.0,60.0,COAST
36.0,8738.99,89.46,-9.81,54.15,60.0,COAST
36.1,8747.84,88.48,-9.81,54.3,60.0,COAST
36.2,8756.59,87.5,-9.81,54.45,60.0,COAST
36.3,8765.24,86.52,-9.81,54.6,60.0,COAST
36.4,8773.79,85.54,-9.81,54.75,60.0,COAST
36.5,8782.25,84.55,-9.81,54.9,60.0,COAST
36.6,8790.6,83.57,-9.81,55.05,60.0,COAST
36.7,8798.86,82.59,-9.81,55.2,60.0,COAST
36.8,8807.02,81.61,-9.81,55.35,60.0,COAST
36.9,8815.09,80.63,-9.81,55.5,60.0,COAST
37.0,8823.05,79.65,-9.81,55.65,60.0,COAST
37.1,8830.92,78.67,-9.81,55.8,60.0,COAST
37.2,8838.69,77.69,-9.81,55.95,60.0,COAST
37.3,8846.36,76.71,-9.81,56.1,60.0,COAST
37.4,8853.93,75.73,-9.81,56.25,60.0,COAST
37.5,8861.4,74.74,-9.81,56.4,60.0,COAST
37.6,8868.78,73.76,-9.81,56.55,60.0,COAST
37.7,8876.06,72.78,-9.81,56.7,60.0,COAST
37.8,8883.24,71.8,-9.81,56.85,60.0,COAST
37.9,8890.32,70.82,-9.81,57.0,60.0,COAST
38.0,8897.3,69.84,-9.81,57.15,60.0,COAST
38.1,8904.19,68.86,-9.81,57.3,60.0,COAST
38.2,8910.98,67.88,-9.81,57.45,60.0,COAST
38.3,8917.67,66.9,-9.81,57.6,60.0,COAST
38.4,8924.26,65.92,-9.81,57.75,60.0,COAST
38.5,8930.75,64.93,-9.81,57.9,60.0,COAST
38.6,8937.15,63.95,-9.81,58.05,60.0,COAST
38.7,8943.45,62.97,-9.81,58.2,60.0,COAST
38.8,8949.64,61.99,-9.81,58.35,60.0,COAST
38.9,8955.75,61.01,-9.81,58.5,60.0,COAST
39.0,8961.75,60.03,-9.81,58.65,60.0,COAST
39.1,8967.65,59.05,-9.81,58.8,60.0,COAST
39.2,8973.46,58.07,-9.81,58.95,60.0,COAST
39.3,8979.17,57.09,-9.81,59.1,60.0,COAST
39.4,8984.78,56.11,-9.81,59.25,60.0,COAST
39.5,8990.29,55.12,-9.81,59.4,60.0,COAST
39.6,8995.71,54.14,-9.81,59.55,60.0,COAST
39.7,9001.02,53.16,-9.81,59.7,60.0,COAST
39.8,9006.24,52.18,-9.81,59.85,60.0,COAST
39.9,9011.36,51.2,-9.81,60.0,60.0,COAST
40.0,9016.38,50.22,-9.81,60.15,60.0,COAST
40.1,9021.31,49.24,-9.81,60.3,60.0,COAST
40.2,9026.13,48.26,-9.81,60.45,60.0,COAST
40.3,9030.86,47.28,-9.81,60.6,60.0,COAST
40.4,9035.49,46.3,-9.81,60.75,60.0,COAST
40.5,9040.02,45.31,-9.81,60.9,60.0,COAST
40.6,9044.45,44.33,-9.81,61.05,60.0,COAST
40.7,9048.79,43.35,-9.81,61.2,60.0,COAST
40.8,9053.03,42.37,-9.81,61.35,60.0,COAST
40.9,9057.16,41.39,-9.81,61.5,60.0,COAST
41.0,9061.21,40.41,-9.81,61.65,60.0,COAST
41.1,9065.15,39.43,-9.81,61.8,60.0,COAST
41.2,9068.99,38.45,-9.81,61.95,60.0,COAST
41.3,9072.74,37.47,-9.81,62.1,60.0,COAST
41.4,9076.39,36.49,-9.81,62.25,60.0,COAST
41.5,9079.94,35.5,-9.81,62.4,60.0,COAST
41.6,9083.39,34.52,-9.81,62.55,60.0,COAST
41.7,9086.74,33.54,-9.81,62.7,60.0,COAST
41.8,9090.0,32.56,-9.81,62.85,60.0,COAST
41.9,9093.16,31.58,-9.81,63.0,60.0,COAST
42.0,9096.22,30.6,-9.81,63.15,60.0,COAST
42.1,9099.18,29.62,-9.81,63.3,60.0,COAST
42.2,9102.04,28.64,-9.81,63.45,60.0,COAST
42.3,9104.81,27.66,-9.81,63.6,60.0,COAST
42.4,9107.48,26.68,-9.81,63.75,60.0,COAST
42.5,9110.05,25.69,-9.81,63.9,60.0,COAST
42.6,9112.52,24.71,-9.81,64.05,60.0,COAST
42.7,9114.89,23.73,-9.81,64.2,60.0,COAST
42.8,9117.17,22.75,-9.81,64.35,60.0,COAST
42.9,9119.34,21.77,-9.81,64.5,60.0,COAST
43.0,9121.42,20.79,-9.81,64.65,60.0,COAST
43.1,9123.4,19.81,-9.81,64.8,60.0,COAST
43.2,9125.29,18.83,-9.81,64.95,60.0,COAST
43.3,9127.07,17.85,-9.81,65.1,60.0,COAST
43.4,9128.76,16.87,-9.81,65.25,60.0,COAST
43.5,9130.35,15.88,-9.81,65.4,60.0,COAST
43.6,9131.84,14.9,-9.81,65.55,60.0,COAST
43.7,9133.23,13.92,-9.81,65.7,60.0,COAST
43.8,9134.52,12.94,-9.81,65.85,60.0,COAST
43.9,9135.72,11.96,-9.81,66.0,60.0,COAST
44.0,9136.82,10.98,-9.81,66.15,60.0,COAST
44.1,9137.82,10.0,-9.81,66.3,60.0,COAST
44.2,9138.72,9.02,-9.81,66.45,60.0,COAST
44.3,9139.52,8.04,-9.81,66.6,60.0,COAST
44.4,9140.23,7.06,-9.81,66.75,60.0,COAST
44.5,9140.83,6.07,-9.81,66.9,60.0,COAST
44.6,9141.34,5.09,-9.81,67.05,60.0,COAST
44.7,9141.75,4.11,-9.81,67.2,60.0,COAST
44.8,9142.07,3.13,-9.81,67.35,60.0,COAST
44.9,9142.28,2.15,-9.81,67.5,60.0,COAST
45.0,9142.4,1.17,-9.81,67.65,60.0,COAST
45.1,9142.42,0.19,-9.81,67.8,60.0,COAST
45.2,9142.34,-0.79,-9.81,67.95,60.0,COAST
45.3,9139.84,-25.0,0.0,69.3,60.0,DESCENT
45.4,9137.34,-25.0,0.0,70.65,60.0,DESCENT
45.5,9134.84,-25.0,0.0,72.0,60.0,DESCENT
45.6,9132.34,-25.0,0.0,73.35,60.0,DESCENT
45.7,9129.84,-25.0,0.0,74.7,60.0,DESCENT
45.8,9127.34,-25.0,0.0,76.05,60.0,DESCENT
45.9,9124.84,-25.0,0.0,77.4,60.0,DESCENT
46.0,9122.34,-25.0,0.0,78.75,60.0,DESCENT
46.1,9119.84,-25.0,0.0,80.1,60.0,DESCENT
46.2,9117.34,-25.0,0.0,81.45,60.0,DESCENT
